cliente_id,name,phone,date_birth,residency,address,in_charge,created_at,marital_status_id,process_status_id,gender_id,document_type_id,document_number,minority_id,monthly_expenses,monthly_income,savings,years_working,contract_type_id,education_level_id,occupation_id,banked,loan_amount,bank,credit_status_id,credit_type_id,vivienda,reports,approved_credit,apply_subsidy,concurrent_subsidy,subsidy_type_id,sisben_id
4efaeb44-8408-4686-9714-3e3abe0884c2,"Carlos Gonzalez",,,,,,"2024-11-13 18:16:52.545493+00",,12,,,,,,,,,,,,,,,,,,,,,,,
4f200748-e797-4a70-8f85-b56ff137478b,Felipe,+51999333777,,,,,"2024-11-05 01:19:15.546533+00",1,16,9,,45678933,,,,,,,,,,,,,,,,,,,,
511b7185-7d24-4d2a-8c9a-38528e9c5f8e,"Ana de Puertas",,,,,,"2024-11-12 03:42:09.033251+00",,,,,,,,,,,,,,,,,,,,,,,,,
54b6fbc0-d888-4e3e-b872-d67c55b4fff4,"Camilo M",,,,,,"2024-11-12 00:17:36.668857+00",,12,,,,,,,,,,,97,,,,7,,,,,t,,42,49
55d81efd-5aa1-44dd-87fa-b4c0c93d2abb,Antonio,+51999999444,,,,,"2024-11-05 01:19:15.546533+00",2,12,9,,45678949,,,,,,,,,,,,,,,,,,,,
588c04e9-9a23-4a1b-afa2-954779d6c316,"Miguel P",,,,,,"2024-12-09 17:44:05.239226+00",,12,,,,,,,,,,,,,,,,,,,,t,,,
59f73958-d791-41b6-9d68-c7a38ff4344c,"Cuasimodo B",30111222111,2024-12-15,Cali,"Cra 20g ",2,"2024-12-16 00:11:39.398252+00",3,12,11,,100002222,100,,,,,,,,,,,,,,,,,,,
5cd1fa7c-bdae-4243-99c7-186f0257c9e0,Gabriel,+51999999111,,,,,"2024-11-05 01:19:15.546533+00",2,12,9,,45678919,,,,,,,,,,,,,,,,,,,,
5ddf1c30-4529-49f2-8420-8219e9d35edb,Silvia,+51999444666,,,,,"2024-11-05 01:19:15.546533+00",3,12,11,,45678914,,,,,,,,,,,,,,,,,,,,
60c05b96-862d-4e84-a615-07cb93ffe9d3,Camila,+51999444999,,,,,"2024-11-05 01:19:15.546533+00",3,12,11,,45678944,,,,,,,,,,,,,,,,,,,,
6693c221-16d6-4633-adb4-e50943f0d72f,Ricardo,+51999333555,,,,,"2024-11-05 01:19:15.546533+00",2,16,9,,45678913,,,,,,,,,,,,,,,,,,,,
680c9bed-db99-4504-9433-88f9da919d2d,Alberto,+51999555777,,,,,"2024-11-05 01:19:15.546533+00",1,14,9,,45678915,,,,,,,,,,,,,,,,,,,,
6851c2da-4c10-4ecd-818b-054812cd29e9,Marina,+51999000333,,,,,"2024-11-05 01:19:15.546533+00",1,14,11,,45678930,,,,,,,,,,,,,,,,,,,,
6cf96f78-0623-4d05-8392-aedceb408532,Valeria,+51999888111,,,,,"2024-11-05 01:19:15.546533+00",2,16,11,,45678928,,,,,,,,,,,,,,,,,,,,
6d37b5d9-4cd6-47d8-9d8e-293395815834,"MICHELLL ANDREA BARRIOS SUAREZ",3023573452,2005-08-31,Barranquilla,"Calle 47B #21A-47",0,"2024-11-19 13:22:58.579444+00",1,12,11,19,1047039226,105,,,,,,,,,,,,,,,,,,,
6db1420c-0d44-4894-a367-d431e0e4b7b4,"Mau Perez",,,,,,"2024-11-11 05:51:53.664985+00",,,,19,,,,,,,,,,,,,,,,,,,,,
6eca1ca8-0a68-4aca-a632-cb33b0ed69e2,Susana,+51999222777,,,,,"2024-11-05 01:19:15.546533+00",1,15,11,,45678942,,,,,,,,,,,,,,,,,,,,
70eb770d-3174-404c-9f7b-62be03e24a71,Manuel,+51999555000,,,,,"2024-11-05 01:19:15.546533+00",1,14,9,,45678945,,,,,,,,,,,,,,,,,,,,
78ff3699-9b65-4134-95d2-c81be11afd33,Victoria,+51999000444,,,,,"2024-11-05 01:19:15.546533+00",2,14,11,,45678940,,,,,,,,,,,,,,,,,,,,
791c348c-a1fe-48b5-9092-d7d0d611cb54,"Ruben Perez",,,,,,"2024-11-12 17:21:01.84999+00",,12,,,,,,,,,,,,,,,,,,,,,,,
7971b706-5675-432f-97d9-a6a06128e609,Carolina,+51999444777,,,,,"2024-11-05 01:19:15.546533+00",1,12,11,,45678924,,,,,,,,,,,,,,,,,,,,
79a4cabf-1713-4d8d-8164-19c4923c3989,Rosa,+51999000555,,,,,"2024-11-05 01:19:15.546533+00",3,14,11,,45678950,,,,,,,,,,,,,,,,,,,,
79ee72cd-fe59-4194-b49d-7c8697b248bb,María,+51999222333,,,,,"2024-11-05 01:19:15.546533+00",2,15,11,,45678902,,,,,,,,,,,,,,,,,,,,
869cd661-ea2b-4d9a-9ff3-ef5594a440a5,"Gustavo Cerati",34232414323,,,,,"2024-11-11 05:36:56.758569+00",,15,,,1,,,,,,,,,,,,7,,,,,,,,
8797e167-5e61-486e-ad5f-b8f73c229276,"May Rodriguez",,,,,,"2024-11-11 21:02:43.351874+00",,,,19,,,,,,,,,,,2000000,,7,28,,,,,,,
8f59d126-621f-4bc1-9773-f62beb398eaa,Anita,,,,,,"2024-11-12 00:15:38.611316+00",,,,,,,,,,,,,,,,,,,,,,,,,
9106e12c-527a-4e96-95c7-aeeb14589a91,Roberto,+51999777999,,,,,"2024-11-05 01:19:15.546533+00",4,15,9,,45678917,,,,,,,,,,,,,,,,,,,,
953e1fee-f77a-4661-9940-baf8ff28d9e0,Juan,+51999111222,,,,,"2024-11-05 01:19:15.546533+00",1,12,9,,45678901,,,,,,,,,,,,,,,,,,,,
968f8152-8331-48d3-99b3-382aefe2282c,Fernando,+51999111333,,,,,"2024-11-05 01:19:15.546533+00",4,13,9,,45678911,,,,,,,,,,,,,,,,,,,,
9792c553-5bdf-4aeb-bea0-e7f50171a1b0,"prueba 2",,2024-12-09,,,,"2024-12-09 19:52:29.196805+00",,12,,,,,,,,,,,,,,,,,,,,t,,,
98c7c069-065a-400c-a285-13c9398b91fd,Carlos,+51999333444,,,,,"2024-11-05 01:19:15.546533+00",3,14,9,,45678903,,,,,,,,,,,,,,,,,,,,
a864dd37-5a86-4ef8-983d-320174edd3a2,"Juan Andres Martinez",3022223123,2000-06-06,Barranquilla,"Cra 42g ",3,"2024-11-10 01:40:22.615821+00",1,,9,19,20200021,,,,,,,,,,,,,,,,,,,,
a8df89ba-f1c4-4e42-a23f-24ed0e789b6c,Sigifredo,,,,,,"2024-11-12 03:42:16.129747+00",,,,,,,,,,,,,,,,,,,,,,,,,
ab083197-9b50-4f16-916a-f9c6945b0bb4,"Rodrigo P",,,,,,"2024-11-12 00:12:55.491833+00",,,,,,,,,,,,,,,,,,,,,,,,,
adb8b99d-686a-46f6-8bc8-afa455085ae4,Eduardo,+51999777000,,,,,"2024-11-05 01:19:15.546533+00",1,15,9,,45678927,,,,,,,,,,,,,,,,,,,,
aefa0cc6-07eb-43f8-8e73-d8b98a67fcfd,Jorge,+51999555888,,,,,"2024-11-05 01:19:15.546533+00",2,14,9,19,45678925,,,,,,,,,,,,,,,,,t,,42,
b007c745-5c1b-453a-9cac-6f54967f3df1,"Juan Andres Perez",302211212321,1984-01-31,Cali,"Cra 22g ",2,"2024-11-11 04:04:13.993515+00",2,15,9,21,102102119,,,,,,,,,,20000001,Bancolombia,6,29,,,,,,,
b04ac18e-da64-4174-86e3-9d7a5df72e6c,Isabel,+51999000111,,,,,"2024-11-05 01:19:15.546533+00",2,12,11,,45678910,,,,,,,,,,,,,,,,,,,,
b29b1554-795c-4ac7-8f5f-8b71df8e0afa,José,+51999999000,,,,,"2024-11-05 01:19:15.546533+00",1,14,9,,45678909,,,,,,,,,,,,,,,,,,,,
b42a3e12-0305-49b4-b4e5-6048a95c0c64,"Andres Martinez",,,,,,"2024-11-12 00:16:12.179558+00",,,,,,,,,,,,,,,,,,,,,,,,,
b706f789-002e-4408-b710-4ed09870d12e,"Marina Luis",,,,,,"2024-11-11 21:04:21.007277+00",,,,,,,,,,,,,,,,,,,,,,,,,
b70cf8e1-6871-4935-9256-3839449d4d97,Beatriz,+51999666999,,,,,"2024-11-05 01:19:15.546533+00",3,13,11,,45678926,,,,,,,,,,,,,,,,,,,,
bb1d499b-9721-4eac-b94b-ed15f213a76b,Claudia,+51999666000,,,,,"2024-11-05 01:19:15.546533+00",1,13,11,,45678936,,,,,,,,,,,,,,,,,,,,
bba0035a-acd4-4e96-83d5-7d79dcc2771e,Daniel,+51999333666,,,,,"2024-11-05 01:19:15.546533+00",4,16,9,,45678923,,,,,,,,,,,,,,,,,,,,
bfb76cde-14f0-46f6-ab4e-41fded2fba07,"Cuasimodo Perez",,,,,,"2024-12-16 00:09:51.835536+00",,12,,19,,,,,,,,,,,,,,,,,,,,,
c511f1b3-c5f9-462c-a67d-841cbd46df33,Arturo,+51999333888,,,,,"2024-11-05 01:19:15.546533+00",2,16,9,,45678943,,,,,,,,,,,,,,,,,,,,
c6a1477b-3e9e-4b19-bfc1-58a55734c699,Pedro,+51999555666,,,,,"2024-11-05 01:19:15.546533+00",2,13,9,,45678905,,,,,,,,,,,,,,,,,,,,
c6cd1f5f-4255-4546-926f-be49d6dd8efd,,,,,,,"2024-11-19 14:44:58.268789+00",,12,,,,,,,,,,,,,,,,,,,,,,,
c9e76015-efd1-4957-8f74-fc5e341dce82,"Clara Gomez",,,,,,"2024-11-11 20:54:47.687956+00",,,,,,,,,,,,,,,,,,,,,,,,,
cadfd35b-2108-4d13-977f-a9915e41c5aa,Cuasimodo,,,,,,"2024-11-12 17:17:14.139496+00",,12,,,,,,,,,,,,,,,,,,,,,,,
cb5b306c-214f-4112-b2ed-9ed05a2cef2d,"Ana de Armas","",2000-07-13,Cali,"Cra 20g ",2,"2024-11-13 17:09:42.944725+00",3,12,11,19,1292810221,100,,2000000,,,30,,96,t,,,,,,,,,,,
d2ee6987-61e7-4f10-b858-c5cce0e05718,"Miguel P",,,,,,"2024-11-15 03:57:02.748233+00",,12,,,,,,,,,,,,,,,,,,,,,,,
d461c2f7-915f-4eeb-9e11-d323703e2db8,"Luisa Blanquicette",,,,,,"2024-11-12 03:42:16.142093+00",,,,,,,,,,,,,,,,,,,,,,,,,
da130a97-cf6a-458a-a438-e0a9e5445f2b,"Miguel Andres Perez",,,,,,"2024-11-11 05:52:49.199451+00",,,,,,,,,,,,,,,,,,,,,,,,,
da501637-92b7-4629-ba2d-733b4df28890,Sergio,+51999999222,,,,,"2024-11-05 01:19:15.546533+00",4,12,9,,45678929,,,,,,,,,,,,,,,,,,,,
da5dcbab-a357-45a8-9dda-ff4b2173b652,Laura,+51999666777,,,,,"2024-11-05 01:19:15.546533+00",1,12,11,,45678906,,,,,,,,,,,,,,,,,,,,
dfc7baa7-6c63-4d5f-b17f-23edae8b5f89,"Marian Perez",30111222112,,,,,"2024-11-11 20:56:32.495584+00",,,11,21,,,,,,,,,,,,,,,,,,,,,
e02deb85-fcad-4d2f-b522-9193e634c645,Andrés,+51999111555,,,,,"2024-11-05 01:19:15.546533+00",2,13,9,,45678931,,,,,,,,,,,,,,,,,,,,
e0bcba82-fc25-498d-a823-1143d138da52,Hugo,+51999555999,,,,,"2024-11-05 01:19:15.546533+00",4,14,9,,45678935,,,,,,,,,,,,,,,,,,,,
e1ed316a-b268-4b90-a5aa-7a38e53bb193,"Mr Pineres",,,,,,"2024-11-11 22:11:29.842523+00",,,,19,,,,,,,,,,,,,,,,,,,,,
e9766e30-ad0c-4416-bfeb-c2915c6c07c8,Paula,+51999222666,,,,,"2024-11-05 01:19:15.546533+00",3,15,11,,45678932,,,,,,,,,,,,,,,,,,,,
eb4e0529-94a5-477c-9d08-65379dcfbf56,Carmen,+51999888999,,,,,"2024-11-05 01:19:15.546533+00",3,16,11,,45678908,,,,,,,,,,,,,,,,,,,,
eb657a6c-47d0-4a00-9047-0009c6e6f646,Casemiro,,,,,,"2024-11-12 17:16:55.53673+00",,12,,,,,,,,,,,,,,,,,,,,,,,
ede22057-e688-4b57-9bd8-b87c9b575c44,"Nino ",,,,,,"2024-11-12 17:21:53.135907+00",,12,,,,,,,,,,,,,,,,,,,,,,,
f6bfaeb3-f351-4a8e-84fa-7a92223f2654,Regina,+51999888222,,,,,"2024-11-05 01:19:15.546533+00",3,16,11,,45678938,,,,,,,,,,,,,,,,,,,,
fb39e44f-7fe3-484f-93d6-ec2c69be6ccd,"Natalia Perez",,,,,,"2024-11-12 00:07:35.736425+00",,,,,,,,,,,,,,,,,,,,,,,,,
fef53532-7648-42c5-b21d-d23f4f493fca,Analia,,,,,,"2024-11-15 03:57:31.604994+00",,12,,,,,,,,,,,,,,,,,,,,,,,
